Account Number,Lifetime Revenue,Latest Transaction Date,Latest Transaction Amount,Projected Revenue (Fiscal Year),Created Date,First Transaction Date,First Transaction Amount,Largest Transaction Amount,Largest Transaction Date,Last Modified Date,Lifetime Raised,Gender,Birth Year,Groups,Volunteer,Board Member,Employer,Primary ZIP Code,Primary State
4472,"$4,900.00 ",10/23/2023,$50.00 ,$600.00 ,10/17/2019 12:32 PM,6/25/2017,$100.00 ,$100.00 ,6/25/2017,4/29/2025 3:15 PM,"$4,900.00 ",,1966,Lapsed|Recurring,,,,63119-1930,MO
14768,$658.56 ,8/23/2025,$20.58 ,$164.64 ,5/30/2023 9:17 AM,10/4/2022,$0.00 ,$20.58 ,1/23/2023,4/29/2025 11:43 AM,$658.56 ,,1953,Current|Retained,,,,63122-4644,MO
1137,"$1,465.80 ",9/4/2025,$20.00 ,$240.00 ,10/17/2017 5:22 PM,9/25/2017,$0.00 ,$205.80 ,11/29/2022,7/31/2025 10:24 AM,"$1,465.80 ",Female,1964,Current|Retained|Recurring,,,,63119-1005,MO
22284,$10.29 ,9/4/2025,$10.29 ,$41.16 ,9/4/2025 7:55 PM,6/17/2022,$0.00 ,$10.29 ,9/4/2025,10/2/2025 12:41 PM,$10.29 ,,,Current|Recurring,,,,63021,MO
12784,$678.00 ,9/4/2025,$15.44 ,$185.28 ,10/11/2022 2:43 PM,3/4/2023,$15.44 ,$77.18 ,9/6/2023,10/2/2025 1:22 PM,$678.00 ,,,Current|Retained|Recurring|Volunteer|Young Friends,,,,63116-1322,MO
10710,"$2,080.10 ",9/5/2025,$50.00 ,$610.15 ,4/11/2022 2:19 PM,4/11/2022,$25.00 ,$102.90 ,12/24/2024,9/18/2025 2:16 PM,"$2,080.10 ",,1946,Current|Retained|Recurring,,,,63119-5319,MO
20533,$55.00 ,9/5/2025,$10.00 ,$80.00 ,3/25/2025 4:24 PM,12/10/2020,$0.00 ,$10.00 ,5/5/2025,4/29/2025 3:15 PM,$55.00 ,,,Current|Retained|Recurring,,,,63121-4818,MO
6816,$668.16 ,9/5/2025,$25.73 ,$308.76 ,1/22/2021 12:35 PM,1/22/2021,$25.00 ,$308.70 ,10/23/2024,9/18/2025 2:16 PM,$668.16 ,,,Current|Retained|Recurring,,,,63367-6481,MO
270,"$1,886.78 ",9/5/2025,$20.00 ,$240.00 ,3/27/2017 11:51 AM,12/1/2015,$30.00 ,$125.00 ,7/20/2016,7/31/2025 10:24 AM,"$1,886.78 ",Female,2019,Current|Retained|Recurring,,,Missouri Foundation for Health,63109-3204,MO
1220,"$1,329.92 ",9/5/2025,$15.44 ,$185.28 ,11/26/2017 3:08 PM,11/13/2017,$0.00 ,$34.60 ,11/18/2017,7/31/2025 10:24 AM,"$1,329.92 ",Female,1956,Current|Retained|Recurring,,,,63122,MO
